,htsc_code,name,exchange,l3_code,l3_name
0,600354.SH,敦煌种业,XSHG,110101,种子
1,300189.SZ,神农科技,XSHE,110101,种子
2,300087.SZ,荃银高科,XSHE,110101,种子
3,002041.SZ,登海种业,XSHE,110101,种子
4,000998.SZ,隆平高科,XSHE,110101,种子
5,000713.SZ,丰乐种业,XSHE,110101,种子
6,600313.SH,农发种业,XSHG,110101,种子
7,600371.SH,万向德农,XSHG,110101,种子
8,831087.BJ,秋乐种业,XBSE,110101,种子
9,601952.SH,苏垦农发,XSHG,110102,粮食种植
10,600598.SH,北大荒,XSHG,110102,粮食种植
11,601118.SH,海南橡胶,XSHG,110103,其他种植业
12,603336.SH,宏辉果蔬,XSHG,110103,其他种植业
13,600359.SH,新农开发,XSHG,110103,其他种植业
14,600108.SH,亚盛集团,XSHG,110103,其他种植业
15,600540.SH,新赛股份,XSHG,110103,其他种植业
16,300972.SZ,万辰生物,XSHE,110104,食用菌
17,300970.SZ,华绿生物,XSHE,110104,食用菌
18,002772.SZ,众兴菌业,XSHE,110104,食用菌
19,300511.SZ,雪榕生物,XSHE,110104,食用菌
20,600883.SH,博闻科技,XSHG,110104,食用菌
21,600354.SH,敦煌种业,XSHG,110101,种子
22,300189.SZ,神农科技,XSHE,110101,种子
23,300087.SZ,荃银高科,XSHE,110101,种子
24,002041.SZ,登海种业,XSHE,110101,种子
25,000998.SZ,隆平高科,XSHE,110101,种子
26,000713.SZ,丰乐种业,XSHE,110101,种子
27,600313.SH,农发种业,XSHG,110101,种子
28,600371.SH,万向德农,XSHG,110101,种子
29,831087.BJ,秋乐种业,XBSE,110101,种子
30,601952.SH,苏垦农发,XSHG,110102,粮食种植
31,600598.SH,北大荒,XSHG,110102,粮食种植
32,601118.SH,海南橡胶,XSHG,110103,其他种植业
33,603336.SH,宏辉果蔬,XSHG,110103,其他种植业
34,600359.SH,新农开发,XSHG,110103,其他种植业
35,600108.SH,亚盛集团,XSHG,110103,其他种植业
36,600540.SH,新赛股份,XSHG,110103,其他种植业
37,300972.SZ,万辰生物,XSHE,110104,食用菌
38,300970.SZ,华绿生物,XSHE,110104,食用菌
39,002772.SZ,众兴菌业,XSHE,110104,食用菌
40,300511.SZ,雪榕生物,XSHE,110104,食用菌
41,600883.SH,博闻科技,XSHG,110104,食用菌
42,000798.SZ,中水渔业,XSHE,110201,海洋捕捞
43,600097.SH,开创国际,XSHG,110201,海洋捕捞
44,200992.SZ,中鲁B,XSHE,110201,海洋捕捞
45,002069.SZ,獐子岛,XSHE,110202,水产养殖
46,300094.SZ,国联水产,XSHE,110202,水产养殖
47,600275.SH,退市昌鱼,XSHG,110202,水产养殖
48,600709.SH,ST生态,XSHG,110202,水产养殖
49,600467.SH,好当家,XSHG,110202,水产养殖
50,600257.SH,大湖股份,XSHG,110202,水产养殖
51,000798.SZ,中水渔业,XSHE,110201,海洋捕捞
52,600097.SH,开创国际,XSHG,110201,海洋捕捞
53,200992.SZ,中鲁B,XSHE,110201,海洋捕捞
54,002069.SZ,獐子岛,XSHE,110202,水产养殖
55,300094.SZ,国联水产,XSHE,110202,水产养殖
56,600275.SH,退市昌鱼,XSHG,110202,水产养殖
57,600709.SH,ST生态,XSHG,110202,水产养殖
58,600467.SH,好当家,XSHG,110202,水产养殖
59,600257.SH,大湖股份,XSHG,110202,水产养殖
60,000663.SZ,永安林业,XSHE,110301,林业Ⅲ
61,002679.SZ,福建金森,XSHE,110301,林业Ⅲ
62,000699.SZ,S*ST佳纸,XSHE,110301,林业Ⅲ
63,600265.SH,ST景谷,XSHG,110301,林业Ⅲ
64,000592.SZ,平潭发展,XSHE,110301,林业Ⅲ
65,000663.SZ,永安林业,XSHE,110301,林业Ⅲ
66,002679.SZ,福建金森,XSHE,110301,林业Ⅲ
67,000699.SZ,S*ST佳纸,XSHE,110301,林业Ⅲ
68,600265.SH,ST景谷,XSHG,110301,林业Ⅲ
69,000592.SZ,平潭发展,XSHE,110301,林业Ⅲ
70,603151.SH,邦基科技,XSHG,110402,畜禽饲料
71,603609.SH,禾丰股份,XSHG,110402,畜禽饲料
72,603363.SH,傲农生物,XSHG,110402,畜禽饲料
73,002567.SZ,唐人神,XSHE,110402,畜禽饲料
74,002548.SZ,金新农,XSHE,110402,畜禽饲料
75,002385.SZ,大北农,XSHE,110402,畜禽饲料
76,002100.SZ,天康生物,XSHE,110402,畜禽饲料
77,000702.SZ,正虹科技,XSHE,110402,畜禽饲料
78,001366.SZ,播恩集团,XSHE,110402,畜禽饲料
79,001313.SZ,粤海饲料,XSHE,110403,水产饲料
80,603668.SH,天马科技,XSHG,110403,水产饲料
81,002696.SZ,百洋股份,XSHE,110403,水产饲料
82,002311.SZ,海大集团,XSHE,110403,水产饲料
83,300673.SZ,佩蒂股份,XSHE,110404,宠物食品
84,002891.SZ,中宠股份,XSHE,110404,宠物食品
85,832419.BJ,路斯股份,XBSE,110404,宠物食品
86,301498.SZ,乖宝宠物,XSHE,110404,宠物食品
87,603151.SH,邦基科技,XSHG,110402,畜禽饲料
88,603609.SH,禾丰股份,XSHG,110402,畜禽饲料
89,603363.SH,傲农生物,XSHG,110402,畜禽饲料
90,002567.SZ,唐人神,XSHE,110402,畜禽饲料
91,002548.SZ,金新农,XSHE,110402,畜禽饲料
92,002385.SZ,大北农,XSHE,110402,畜禽饲料
93,002100.SZ,天康生物,XSHE,110402,畜禽饲料
94,000702.SZ,正虹科技,XSHE,110402,畜禽饲料
95,001366.SZ,播恩集团,XSHE,110402,畜禽饲料
96,001313.SZ,粤海饲料,XSHE,110403,水产饲料
97,603668.SH,天马科技,XSHG,110403,水产饲料
98,002696.SZ,百洋股份,XSHE,110403,水产饲料
99,002311.SZ,海大集团,XSHE,110403,水产饲料
100,300673.SZ,佩蒂股份,XSHE,110404,宠物食品
101,002891.SZ,中宠股份,XSHE,110404,宠物食品
102,832419.BJ,路斯股份,XBSE,110404,宠物食品
103,301498.SZ,乖宝宠物,XSHE,110404,宠物食品
104,605198.SH,安德利,XSHG,110501,果蔬加工
105,300175.SZ,朗源股份,XSHE,110501,果蔬加工
106,600962.SH,国投中鲁,XSHG,110501,果蔬加工
107,600251.SH,冠农股份,XSHG,110501,果蔬加工
108,832023.BJ,田野股份,XBSE,110501,果蔬加工
109,000972.SZ,中基健康,XSHE,110501,果蔬加工
110,603182.SH,嘉华股份,XSHG,110502,粮油加工
111,300999.SZ,金龙鱼,XSHE,110502,粮油加工
112,002852.SZ,道道全,XSHE,110502,粮油加工
113,000019.SZ,深粮控股,XSHE,110502,粮油加工
114,000639.SZ,西王食品,XSHE,110502,粮油加工
115,000505.SZ,京粮控股,XSHE,110502,粮油加工
116,600127.SH,金健米业,XSHG,110502,粮油加工
