所属行业层级,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
,(一级行业代码),(一级行业名称),(二级行业代码),(二级行业名称),(三级行业代码),(三级行业名称)
2,110000,农林牧渔,110100,种植业,110100,种植业
3,110000,农林牧渔,110100,种植业,110101,种子
3,110000,农林牧渔,110100,种植业,110102,粮食种植
3,110000,农林牧渔,110100,种植业,110103,其他种植业
3,110000,农林牧渔,110100,种植业,110104,食用菌
2,110000,农林牧渔,110200,渔业,110200,渔业
3,110000,农林牧渔,110200,渔业,110201,海洋捕捞
3,110000,农林牧渔,110200,渔业,110202,水产养殖
2,110000,农林牧渔,110300,林业Ⅱ,110300,林业Ⅱ
3,110000,农林牧渔,110300,林业Ⅱ,110301,林业Ⅲ
2,110000,农林牧渔,110400,饲料,110400,饲料
3,110000,农林牧渔,110400,饲料,110402,畜禽饲料
3,110000,农林牧渔,110400,饲料,110403,水产饲料
3,110000,农林牧渔,110400,饲料,110404,宠物食品
2,110000,农林牧渔,110500,农产品加工,110500,农产品加工
3,110000,农林牧渔,110500,农产品加工,110501,果蔬加工
3,110000,农林牧渔,110500,农产品加工,110502,粮油加工
3,110000,农林牧渔,110500,农产品加工,110504,其他农产品加工
2,110000,农林牧渔,110700,养殖业,110700,养殖业
3,110000,农林牧渔,110700,养殖业,110702,生猪养殖
3,110000,农林牧渔,110700,养殖业,110703,肉鸡养殖
3,110000,农林牧渔,110700,养殖业,110704,其他养殖
2,110000,农林牧渔,110800,动物保健Ⅱ,110800,动物保健Ⅱ
3,110000,农林牧渔,110800,动物保健Ⅱ,110801,动物保健Ⅲ
2,110000,农林牧渔,110900,农业综合Ⅱ,110900,农业综合Ⅱ
3,110000,农林牧渔,110900,农业综合Ⅱ,110901,农业综合Ⅲ
3,220000,基础化工,220600,橡胶,220602,其他橡胶制品
3,220000,基础化工,220600,橡胶,220603,炭黑
3,220000,基础化工,220600,橡胶,220604,橡胶助剂
2,220000,基础化工,220800,农化制品,220800,农化制品
3,220000,基础化工,220800,农化制品,220801,氮肥
3,220000,基础化工,220800,农化制品,220802,磷肥及磷化工
3,220000,基础化工,220800,农化制品,220803,农药
3,220000,基础化工,220800,农化制品,220804,钾肥
3,220000,基础化工,220800,农化制品,220805,复合肥
2,220000,基础化工,220900,非金属材料Ⅱ,220900,非金属材料Ⅱ
3,220000,基础化工,220900,非金属材料Ⅱ,220901,非金属材料Ⅲ
1,220000,基础化工,220000,基础化工,220000,基础化工
2,220000,基础化工,220200,化学原料,220200,化学原料
3,220000,基础化工,220200,化学原料,220201,纯碱
3,220000,基础化工,220200,化学原料,220202,氯碱
3,220000,基础化工,220200,化学原料,220203,无机盐
3,220000,基础化工,220200,化学原料,220204,其他化学原料
3,220000,基础化工,220200,化学原料,220205,煤化工
3,220000,基础化工,220200,化学原料,220206,钛白粉
2,220000,基础化工,220300,化学制品,220300,化学制品
3,220000,基础化工,220300,化学制品,220305,涂料油墨
3,220000,基础化工,220300,化学制品,220307,民爆制品
3,220000,基础化工,220300,化学制品,220308,纺织化学制品
3,220000,基础化工,220300,化学制品,220309,其他化学制品
3,220000,基础化工,220300,化学制品,220311,氟化工
3,220000,基础化工,220300,化学制品,220313,聚氨酯
3,220000,基础化工,220300,化学制品,220315,食品及饲料添加剂
3,220000,基础化工,220300,化学制品,220316,有机硅
3,220000,基础化工,220300,化学制品,220317,胶黏剂及胶带
2,220000,基础化工,220400,化学纤维,220400,化学纤维
3,220000,基础化工,220400,化学纤维,220401,涤纶
3,220000,基础化工,220400,化学纤维,220403,粘胶
3,220000,基础化工,220400,化学纤维,220404,其他化学纤维
3,220000,基础化工,220400,化学纤维,220405,氨纶
3,220000,基础化工,220400,化学纤维,220406,锦纶
2,220000,基础化工,220500,塑料,220500,塑料
3,220000,基础化工,220500,塑料,220501,其他塑料制品
3,220000,基础化工,220500,塑料,220503,改性塑料
3,220000,基础化工,220500,塑料,220504,合成树脂
3,220000,基础化工,220500,塑料,220505,膜材料
2,220000,基础化工,220600,橡胶,220600,橡胶
1,230000,钢铁,230000,钢铁,230000,钢铁
2,230000,钢铁,230300,冶钢原料,230300,冶钢原料
3,230000,钢铁,230300,冶钢原料,230301,铁矿石
3,230000,钢铁,230300,冶钢原料,230302,冶钢辅料
2,230000,钢铁,230400,普钢,230400,普钢
3,230000,钢铁,230400,普钢,230401,长材
3,230000,钢铁,230400,普钢,230402,板材
3,230000,钢铁,230400,普钢,230403,钢铁管材
